0.940,6.817,-8.129,-0.375,-0.936, 0.279, 0.058, 0.222,0.559,0.186,0.285, 0.136, 0.220, 2.530,-0.775, 0.125, 1.189, 0.600, 0.136, 0.067, 0.415, 0.278, 2.752,-0.175, 0.261, 1.257,-0.082,-0.055, 0.000;
0.962,6.716,-8.931,-0.411,-1.805, 0.283, 0.060, 0.203,0.202,0.101,-0.843, 0.128, 0.224, 2.576,-0.667, 0.012, 1.308, 0.488, 0.247,-0.052, 0.411, 0.284, 2.780,-0.179, 0.258, 1.257,-0.081,-0.056, 0.000;
0.966,6.563,-8.165,-0.838,-0.764, 0.290, 0.062, 0.203,1.952,0.651,0.000, 0.121, 0.223, 2.581,-0.650, 0.029, 1.326, 0.471, 0.229,-0.069, 0.411, 0.285, 2.784,-0.179, 0.258, 1.257,-0.081,-0.056, 0.000;
0.976,6.706,-8.219,-0.730,-0.782, 0.295, 0.062, 0.219,0.414,0.000,1.408, 0.114, 0.225, 2.579,-0.706, 0.082, 1.269, 0.525, 0.175,-0.013, 0.409, 0.288, 2.798,-0.181, 0.257, 1.257,-0.081,-0.057, 0.000;
0.998,6.764,-8.856,-0.585,-1.507, 0.301, 0.065, 0.222,0.307,0.102,0.157, 0.104, 0.229, 2.603,-0.819, 0.189, 1.156, 0.634, 0.066, 0.101, 0.405, 0.293, 2.825,-0.184, 0.254, 1.257,-0.080,-0.058, 0.000;
1.010,6.835,-10.139,-0.396,-2.907, 0.306, 0.067, 0.219,0.360,0.180,-0.276, 0.097, 0.230, 2.622,-0.756, 0.249, 1.219, 0.570, 0.004, 0.038, 0.403, 0.297, 2.841,-0.186, 0.253, 1.257,-0.079,-0.059, 0.000;
1.023,7.371,-10.239,0.006,-2.873, 0.312, 0.069, 0.207,0.549,0.183,-0.984, 0.088, 0.230, 2.649,-0.696, 0.186, 1.283, 0.508, 0.065,-0.027, 0.400, 0.300, 2.856,-0.188, 0.252, 1.257,-0.079,-0.059, 0.000;
1.036,7.307,-9.822,-0.211,-2.304, 0.317, 0.069, 0.222,0.344,0.000,1.185, 0.081, 0.234, 2.650,-0.633, 0.250, 1.216, 0.442, 0.000, 0.041, 0.398, 0.303, 2.872,-0.190, 0.250, 1.257,-0.079,-0.060, 0.000;
1.039,7.870,-9.794,0.449,-2.373, 0.324, 0.071, 0.222,2.156,0.719,0.000, 0.074, 0.232, 2.654,-0.649, 0.234, 1.200, 0.458, 0.016, 0.056, 0.397, 0.304, 2.876,-0.191, 0.250, 1.257,-0.078,-0.060, 0.000;
1.060,7.592,-9.937,0.186,-2.532, 0.328, 0.074, 0.222,0.212,0.106,0.000, 0.065, 0.235, 2.680,-0.759, 0.124, 1.094, 0.565, 0.123, 0.163, 0.393, 0.309, 2.903,-0.194, 0.247, 1.257,-0.078,-0.061, 0.000;
1.072,6.431,-10.315,-0.874,-3.011, 0.335, 0.076, 0.226,0.572,0.191,0.301, 0.056, 0.236, 2.692,-0.701, 0.182, 1.153, 0.505, 0.064, 0.104, 0.391, 0.312, 2.917,-0.196, 0.246, 1.257,-0.077,-0.062, 0.000;
1.083,7.070,-10.355,-0.345,-2.939, 0.339, 0.076, 0.241,0.374,0.000,1.299, 0.049, 0.239, 2.691,-0.642, 0.240, 1.090, 0.444, 0.004, 0.167, 0.389, 0.315, 2.932,-0.198, 0.244, 1.257,-0.077,-0.062, 0.000;
1.096,7.475,-10.381,0.155,-3.061, 0.344, 0.078, 0.226,0.362,0.181,-1.257, 0.042, 0.240, 2.722,-0.582, 0.176, 1.154, 0.382, 0.066, 0.103, 0.386, 0.318, 2.948,-0.200, 0.243, 1.257,-0.076,-0.063, 0.000;
